"어린이집명",시도명,시군구명,어린이집유형구분,정원수,보육교직원수,소재지도로명주소,어린이집전화번호,어린이집팩스번호,보육실수,놀이터수,CCTV설치수,통학차량운영여부,홈페이지주소,데이터기준일자
"꿈엔들어린이집",대전광역시,대덕구,민간,82,64,대전광역시 대덕구 아리랑로113번길 53 (읍내동),042-638-6382,,7,1,15,Y,,2019-04-18
"꿈터어린이집",대전광역시,대덕구,가정,20,12,대전광역시 대덕구 중리동로41번길 9 (중리동),042-621-0149,,3,0,4,Y,,2019-04-18
"누리숲어린이집",대전광역시,대덕구,민간,57,41,대전광역시 대덕구 한밭대로1033번길 15 (오정동),042-626-3419,,6,1,7,Y,,2019-04-18
"누림어린이집",대전광역시,대덕구,가정,20,19,"대전광역시 대덕구 동춘당로 160 102동 101호(법동, 삼익소월아파트)",042-635-4451,,4,0,4,Y,,2019-04-18
"늘사랑 어린이집",대전광역시,대덕구,가정,20,18,"대전광역시 대덕구 비래서로10번길 21 104동104호 (비래동,비래한신휴플러스)",042-626-5353,,4,0,4,Y,,2019-04-18
"늘푸른어린이집",대전광역시,대덕구,가정,19,15,"대전광역시 대덕구 계족로521번길 79 101동 104호(중리동, 영진상록아파트)",042-621-5211,,3,0,6,Y,,2019-04-18
"대덕구청 직장어린이집",대전광역시,대덕구,직장,20,12,대전광역시 대덕구 한남로155번길 49 (오정동),042-634-5566,,3,1,9,N,,2019-04-18
"대덕어린이집",대전광역시,대덕구,사회복지법인,72,36,대전광역시 대덕구 대전로1397번길 33 (읍내동),042-622-4662,,8,1,9,Y,,2019-04-18
"대덕종합사회복지관어린이집",대전광역시,대덕구,국공립,57,53,대전광역시 대덕구 덕암로234번길 44 (덕암동),042-936-5333,,6,1,11,Y,,2019-04-18
"대전광역시동부여성가족원어린이집",대전광역시,대덕구,국공립,44,35,대전광역시 대덕구 선비마을로 260 (법동),042-624-3636,,5,1,8,N,,2019-04-18
"대전광역시립둥지어린이집",대전광역시,대덕구,국공립,64,59,대전광역시 대덕구 대화로 77 둥지어린이집(대화동),042-621-2463,,5,1,9,Y,,2019-04-18
"덕암어린이집",대전광역시,대덕구,민간,124,101,대전광역시 대덕구 덕암북로22번길 77 (덕암동),042-933-7599,,11,1,16,Y,,2019-04-18
"덕암영아어린이집",대전광역시,대덕구,사회복지법인,74,65,대전광역시 대덕구 덕암북로58번길 15 (덕암동),042-934-7599,,8,1,15,Y,,2019-04-18
"덕암제일어린이집",대전광역시,대덕구,법인·단체,44,16,대전광역시 대덕구 덕암로195번길 26 (덕암동),042-935-7272,,5,0,7,Y,,2019-04-18
"도담도담어린이집",대전광역시,대덕구,가정,20,20,대전광역시 대덕구 계족산로5번길 39 (중리동),042-627-1311,,3,0,3,Y,,2019-04-18
"라온어린이집",대전광역시,대덕구,가정,20,18,"대전광역시 대덕구 대덕대로 1555 109동 102호(석봉동, 금강엑슬루타워)",042-932-6565,,4,0,4,N,,2019-04-18
"라임나무어린이집",대전광역시,대덕구,가정,17,14,대전광역시 대덕구 한밭대로1174번길 42 (중리동),042-632-1704,,3,0,4,Y,,2019-04-18
"리라어린이집",대전광역시,대덕구,민간,110,28,대전광역시 대덕구 중리로63번길 36-10 (중리동),042-639-0888,,13,1,23,Y,,2019-04-18
"리틀아이존어린이집",대전광역시,대덕구,가정,20,18,"대전광역시 대덕구 비래서로10번길 21 102동 103호(비래동, 비래한신휴플러스)",042-322-9493,,4,0,4,Y,,2019-04-18
"리틀키즈원어린이집",대전광역시,대덕구,가정,20,11,"대전광역시 대덕구 대덕대로 1555 101동 102호(석봉동,금강엑슬루타워)",042-931-0236,,4,0,4,N,,2019-04-18
"리틀파랑새어린이집",대전광역시,대덕구,가정,20,10,대전광역시 대덕구 대덕대로1458번길 57 (목상동),042-931-8423,,3,0,4,Y,,2019-04-18
"만민어린이집",대전광역시,대덕구,민간,37,3,대전광역시 대덕구 대화로 26 (대화동),042-632-2593,,3,1,7,Y,,2019-04-18
"무지개어린이집",대전광역시,대덕구,민간,42,19,대전광역시 대덕구 신탄진동로35번길 16 (신탄진동),042-935-9235,,5,0,5,Y,,2019-04-18
"문평어린이집",대전광역시,대덕구,국공립,97,94,대전광역시 대덕구 문평동로18번길 26 (문평동),042-933-4488,,9,1,16,Y,,2019-04-18
"물사랑어린이집",대전광역시,대덕구,직장,78,77,대전광역시 대덕구 신탄진로 200 내 물사랑어린이집(회덕동),042-629-3750,,5,1,25,N,,2019-04-18
"미니가정어린이집",대전광역시,대덕구,가정,19,3,"대전광역시 대덕구 비래서로61번길 71 101동 106호(비래동, 아이조움 아파트)",042-627-3524,,4,0,4,Y,,2019-04-18
"미키미니어린이집",대전광역시,대덕구,민간,61,31,대전광역시 대덕구 덕암북로70번길 29 (덕암동),042-936-8288,,6,0,7,Y,,2019-04-18
"법동종합사회복지관어린이집",대전광역시,대덕구,국공립,72,54,대전광역시 대덕구 계족로664번길 27 (법동),042-633-1143,,6,0,10,Y,,2019-04-18
"별나라어린이집",대전광역시,대덕구,가정,20,13,대전광역시 대덕구 한밭대로1129번길 84 (중리동),042-623-7666,,4,0,4,Y,,2019-04-18
"봄봄어린이집",대전광역시,대덕구,가정,20,19,"대전광역시 대덕구 대덕대로 1587 104동 102호(석봉동, 금강로하스엘크루)",042-932-3100,,4,0,4,N,,2019-04-18
"브레인아이어린이집",대전광역시,대덕구,민간,42,39,대전광역시 대덕구 대덕대로 1555,042-933-4279,,5,0,8,N,,2019-04-18
"브레인어린이집",대전광역시,대덕구,민간,42,22,대전광역시 대덕구 비래동로40번길 52 (비래동),042-633-5248,,4,0,4,Y,,2019-04-18
"비래영아어린이집",대전광역시,대덕구,민간,68,56,대전광역시 대덕구 비래동로7번길 4 (비래동),042-626-1930,,7,1,8,Y,,2019-04-18
"뽀뽀뽀어린이집",대전광역시,대덕구,가정,20,11,"대전광역시 대덕구 계족로690번길 21 107동 102호(법동, 선비마을1단지아파트)",042-672-6061,,3,0,4,Y,,2019-04-18
"사과나무어린이집",대전광역시,대덕구,법인·단체,56,53,대전광역시 대덕구 계족로505번길 90 (중리동),042-673-0537,,4,1,8,Y,,2019-04-18
"사랑가득어린이집",대전광역시,대덕구,가정,20,15,"대전광역시 대덕구 동춘당로 178 109동 105호(법동, 보람아파트)",042-635-1980,,4,0,5,Y,,2019-04-18
"사랑나무어린이집",대전광역시,대덕구,가정,19,17,"대전광역시 대덕구 한밭대로1033번길 15 2동 102호(오정동, 신동아아파트)",042-637-7473,,4,0,4,Y,,2019-04-18
"사랑뜰어린이집",대전광역시,대덕구,가정,20,15,"대전광역시 대덕구 대덕대로 1555 111동 101호(석봉동,금강엑슬루타워)",042-671-0220,,4,0,4,N,,2019-04-18
"새뜸어린이집",대전광역시,대덕구,국공립,99,78,대전광역시 대덕구 한남로137번길 29 (오정동),042-639-3600,,9,2,14,N,,2019-04-18
"새싹어린이집",대전광역시,대덕구,가정,19,8,"대전광역시 대덕구 동춘당로114번길 60 304동 105호(송촌동, 선비마을3단지아파트)",042-672-3955,,3,0,5,N,,2019-04-18
"새일어린이집",대전광역시,대덕구,민간,79,60,대전광역시 대덕구 덕암로159번길 34 (덕암동),042-936-7997,,9,1,14,Y,,2019-04-18
"샘사랑가정어린이집",대전광역시,대덕구,가정,20,18,"대전광역시 대덕구 동춘당로114번길 47 203동 103호(송촌동, 선비마을2단지아파트)",042-633-3006,,4,0,5,Y,,2019-04-18
"샛별어린이집",대전광역시,대덕구,가정,19,15,"대전광역시 대덕구 계족산로 136 504동 104호(송촌동, 선비마을5단지아파트)",042-626-5806,,4,0,4,Y,,2019-04-18
"샬롬어린이집",대전광역시,대덕구,국공립,88,87,대전광역시 대덕구 동춘당로 22 (송촌동),042-628-3093,,8,0,15,Y,,2019-04-18
"서오어린이집",대전광역시,대덕구,민간,58,37,대전광역시 대덕구 동춘당로23번길 51 (송촌동),042-625-3810,,7,1,9,Y,,2019-04-18
"서현어린이집",대전광역시,대덕구,사회복지법인,85,55,대전광역시 대덕구 동심1길 85 (대화동),042-627-4403,,7,1,16,Y,,2019-04-18
"선비영아어린이집",대전광역시,대덕구,가정,18,11,"대전광역시 대덕구 계족산로 136 518동 102호(송촌동, 선비마을5단지아파트)",042-636-4653,,4,0,4,N,,2019-04-18
"솔방울어린이집",대전광역시,대덕구,가정,20,20,"대전광역시 대덕구 대덕대로 1555 105동 102호 (석봉동, 금강엑슬루타워)",042-932-4200,,4,0,4,Y,,2019-04-18
"솔지어린이집",대전광역시,대덕구,가정,20,18,"대전광역시 대덕구 동춘당로114번길 47 210동 104호 (송촌동, 선비마을2단지아파트)",042-345-8844,,4,0,4,Y,,2019-04-18
"솜사탕어린이집",대전광역시,대덕구,가정,20,18,"대전광역시 대덕구 비래서로10번길 21 103동 106호(비래동, 비래한신휴플러스)",042-322-7942,,3,0,4,Y,,2019-04-18
"송촌어린이집",대전광역시,대덕구,민간,34,21,대전광역시 대덕구 동춘당로114번길 47 선비마을2단지아파트 내 (송촌동),042-637-0133,,2,0,4,Y,,2019-04-18
"숲속어린이집",대전광역시,대덕구,가정,20,16,"대전광역시 대덕구 동춘당로 178 107동 105호(법동, 보람아파트)",042-627-4775,,4,0,5,Y,,2019-04-18
"숲속오후어린이집",대전광역시,대덕구,가정,20,20,"대전광역시 대덕구 동춘당로 178 104동 102호(법동, 보람아파트)",042-625-4775,,3,0,4,Y,,2019-04-18
"신탄진어린이집",대전광역시,대덕구,사회복지법인,99,44,대전광역시 대덕구 신탄진동로 50 (신탄진동),042-932-1122,,6,1,13,Y,,2019-04-18
"아기별어린이집",대전광역시,대덕구,가정,19,15,"대전광역시 대덕구 계족산로 136 513동 101호(송촌동, 선비마을5단지아파트)",042-636-5825,,4,0,4,Y,,2019-04-18
"아기사랑미술어린이집",대전광역시,대덕구,가정,20,16,"대전광역시 대덕구 계족산로 136 516동 102호(송촌동, 선비마을5단지아파트)",042-636-8069,,4,0,4,Y,,2019-04-18
"아이뜰어린이집",대전광역시,대덕구,가정,20,20,"대전광역시 대덕구 대덕대로 1555 109동 101호(석봉동, 금강엑슬루타워)",042-936-7946,,4,0,4,N,,2019-04-18
"아이비어린이집",대전광역시,대덕구,가정,19,18,"대전광역시 대덕구 동춘당로 160 104동 103호(법동, 삼익소월아파트)",042-639-3656,,3,0,4,Y,,2019-04-18
"아이원 어린이집",대전광역시,대덕구,가정,20,17,"대전광역시 대덕구 대덕대로 1555 110-101(석봉동, 금강엑슬루타워)",042-931-7009,,4,0,4,N,,2019-04-18
"아이자람어린이집",대전광역시,대덕구,가정,20,14,"대전광역시 대덕구 덕암로 200 103동 104호(평촌동, 행복한마을아파트)",042-935-1486,,3,0,4,N,,2019-04-18
"아이행복어린이집",대전광역시,대덕구,민간,99,59,대전광역시 대덕구 덕암북로72번길 59 (덕암동),042-933-5518,,9,1,13,Y,,2019-04-18
"아해뜰 어린이집",대전광역시,대덕구,민간,123,105,대전광역시 대덕구 계족산로 136 선비마을5단지아파트 내 (송촌동),042-635-7767,,8,1,16,Y,,2019-04-18
"안당어린이집",대전광역시,대덕구,사회복지법인,42,35,대전광역시 대덕구 오정로9번길 35,042-636-2032,,5,3,22,Y,,2019-04-18
"양지어린이집",대전광역시,대덕구,민간,39,17,대전광역시 대덕구 대전로1185번길 30 (오정동),042-632-0525,,5,0,5,N,,2019-04-18
"엄마사랑어린이집",대전광역시,대덕구,가정,15,10,"대전광역시 대덕구 신탄진로218번길 12 와동 주공109동106호(와동, 주공아파트)",042-627-2310,,3,0,4,Y,,2019-04-18
"엑슬루어린이집",대전광역시,대덕구,가정,20,11,"대전광역시 대덕구 대덕대로 1555 102동 102호(석봉동,금강엑슬루타워)",042-932-0032,,3,0,4,N,,2019-04-18
"엔젤어린이집",대전광역시,대덕구,가정,20,19,"대전광역시 대덕구 동춘당로 151 111동 106호(법동, 그린아파트)",042-627-2161,,4,0,4,Y,,2019-04-18
"엘크루예가어린이집",대전광역시,대덕구,민간,47,14,대전광역시 대덕구 대덕대로 1587 금강로하스엘크루아파트 내,042-671-1689,,7,0,8,Y,,2019-04-18
"염광어린이집",대전광역시,대덕구,법인·단체,51,38,대전광역시 대덕구 옛신탄진로 235 (오정동),042-631-1475,,4,1,5,Y,,2019-04-18
"영재숲어린이집",대전광역시,대덕구,민간,49,17,대전광역시 대덕구 동심1길 105 (대화동),042-627-9118,,4,0,8,Y,,2019-04-18
"예그리나어린이집",대전광역시,대덕구,가정,20,16,대전광역시 대덕구 계족산로5번길 29 (중리동),042-632-2530,,4,0,4,Y,,2019-04-18
"예다움영아어린이집",대전광역시,대덕구,가정,19,14,"대전광역시 대덕구 계족산로 136 505동 101호(송촌동, 선비마을5단지아파트)",042-633-8091,,4,0,4,Y,,2019-04-18
"예닮어린이집",대전광역시,대덕구,민간,45,25,대전광역시 대덕구 신탄진로 187 (신대동),042-621-4016,,4,0,5,Y,,2019-04-18
"예땅어린이집",대전광역시,대덕구,가정,19,13,대전광역시 대덕구 계족산로5번길 7 1층 (중리동),042-625-4051,,3,0,3,Y,,2019-04-18
"예쁜사랑어린이집",대전광역시,대덕구,가정,19,12,"대전광역시 대덕구 동춘당로 151 111동 105호(법동, 그린아파트)",042-627-5677,,4,0,4,Y,,2019-04-18
"예쁜키즈어린이집",대전광역시,대덕구,민간,49,35,대전광역시 대덕구 아리랑로197번길 7-21 (법동),042-622-2754,,8,1,16,Y,,2019-04-18
"오정동푸르니하나금융그룹어린이집",대전광역시,대덕구,직장,49,18,대전광역시 대덕구 대전로 1039,042-631-2013,,4,0,10,N,,2019-04-18
"오정어린이집",대전광역시,대덕구,국공립,48,33,대전광역시 대덕구 대전로1066번길 52 오정어린이집 (오정동),042-673-5865,,7,1,8,Y,,2019-04-18
"유원숲어린이집",대전광역시,대덕구,가정,20,12,"대전광역시 대덕구 계족로663번길 23 2동 102호(법동, 유원아파트)",042-631-8731,,3,0,4,Y,,2019-04-18
"은하수어린이집",대전광역시,대덕구,가정,18,18,"대전광역시 대덕구 동춘당로 160 102동 106호(법동, 삼익소월아파트)",042-636-6320,,4,0,4,Y,,2019-04-18
"이든어린이집",대전광역시,대덕구,가정,17,2,대전광역시 대덕구 중리동로3번길 50 (중리동),042-622-0144,,3,0,4,N,,2019-04-18
"이솝어린이집",대전광역시,대덕구,가정,17,14,"대전광역시 대덕구 비래서로 42 2동 106호(비래동, 삼호아파트)",042-631-1184,,4,0,4,Y,,2019-04-18
"이지어린이집",대전광역시,대덕구,민간,99,82,대전광역시 대덕구 덕암로148번안길 82 (평촌동),042-935-5577,,10,1,14,Y,,2019-04-18
"자연어린이집",대전광역시,대덕구,가정,18,8,"대전광역시 대덕구 동춘당로23번길 37 105동 104호(송촌동, 서오아파트)",042-633-3007,,4,0,4,Y,,2019-04-18
"작은숲어린이집",대전광역시,대덕구,가정,20,13,"대전광역시 대덕구 대덕대로 1555 110동 102호(석봉동, 금강엑슬루타워)",042-300-7942,,4,0,4,N,,2019-04-18
"잼버리어린이집",대전광역시,대덕구,민간,98,78,대전광역시 대덕구 신탄진동로35번길 56 (신탄진동),042-932-9862,,9,1,15,Y,,2019-04-18
"좋은생각어린이집",대전광역시,대덕구,국공립,72,71,대전광역시 대덕구 신탄진로218번길 73 (와동),042-627-8980,,6,1,11,Y,,2019-04-18
"중리어린이집",대전광역시,대덕구,사회복지법인,79,48,대전광역시 대덕구 계족로521번길 54 (중리동),042-672-8900,,6,1,8,Y,,2019-04-18
"중리종합사회복지관어린이집",대전광역시,대덕구,국공립,57,46,대전광역시 대덕구 계족로663번길 34 (법동),042-632-6188,,5,0,6,Y,,2019-04-18
"중리프뢰벨어린이집",대전광역시,대덕구,가정,18,7,대전광역시 대덕구 한밭대로1101번길 5 (중리동),042-621-6814,,4,0,4,Y,,2019-04-18
"중원어린이집",대전광역시,대덕구,민간,80,62,대전광역시 대덕구 중리남로40번길 79 (중리동),042-628-9310,,7,0,15,Y,,2019-04-18
"즐거운유림어린이집",대전광역시,대덕구,가정,20,20,"대전광역시 대덕구 동춘당로 178 105동 101호(법동, 보람아파트)",042-672-1233,,4,0,4,Y,,2019-04-18
"참몬테소리어린이집",대전광역시,대덕구,가정,20,14,"대전광역시 대덕구 계족산로 135 413동 104호(송촌동, 선비마을4단지아파트)",042-672-3514,,4,0,4,Y,,2019-04-18
"참사랑영아어린이집",대전광역시,대덕구,가정,20,11,"대전광역시 대덕구 대청로64번길 11 102동 102호(신탄진동,라이프아파트)",042-932-3140,,3,0,4,N,,2019-04-18
"참어린이집",대전광역시,대덕구,가정,20,14,"대전광역시 대덕구 계족산로 135 413동 101호(송촌동, 선비마을4단지아파트)",042-672-3513,,4,0,5,Y,,2019-04-18
"초록어린이집",대전광역시,대덕구,가정,20,13,대전광역시 대덕구 계족산로5번길 27 (중리동),042-634-9037,,3,0,3,Y,,2019-04-18
"초망어린이집",대전광역시,대덕구,가정,19,13,"대전광역시 대덕구 계족로761번길 24 110동 109호(읍내동, 현대아파트)",042-633-5056,,4,0,4,Y,,2019-04-18
"케이티앤지어린이집",대전광역시,대덕구,직장,40,36,대전광역시 대덕구 벚꽃길 71,042-939-5428,,4,0,9,N,,2019-04-18
"코끼리망토어린이집",대전광역시,대덕구,가정,20,13,"대전광역시 대덕구 대덕대로 1555 103동 101호(석봉동,금강엑슬루타워)",042-487-3114,,4,0,4,N,,2019-04-18
"코레일 대전어린이집",대전광역시,대덕구,직장,80,30,대전광역시 대덕구 벚꽃길 148 (평촌동),042-932-1002,,5,1,13,N,,2019-04-18
"키즈몬테소리어린이집",대전광역시,대덕구,가정,20,20,대전광역시 대덕구 덕암로125번안길 19 (덕암동),042-932-4901,,4,1,5,Y,,2019-04-18
"키즈원어린이집",대전광역시,대덕구,가정,18,11,"대전광역시 대덕구 대덕대로 1555 101동 101호(석봉동,금강엑슬루타워)",042-932-7010,,3,0,4,N,,2019-04-18
"킨더하바어린이집",대전광역시,대덕구,가정,20,18,"대전광역시 대덕구 동춘당로 178 108동 105호(법동, 보람아파트)",042-637-4227,,4,0,6,Y,,2019-04-18
"튼튼이어린이집",대전광역시,대덕구,가정,19,13,"대전광역시 대덕구 동춘당로114번길 60 307동 105호(송촌동, 선비마을3단지아파트)",042-632-9581,,3,0,6,Y,,2019-04-18
"파란풍차어린이집",대전광역시,대덕구,민간,49,40,대전광역시 대덕구 한밭대로1043번길 12-11 (오정동),042-632-9396,,6,0,10,Y,,2019-04-18
"파랑새어린이집",대전광역시,대덕구,가정,20,20,"대전광역시 대덕구 신탄진로218번길 62 103동 102호(와동, 현대아파트)",042-626-6375,,4,0,4,Y,,2019-04-18
"푸른숲어린이집",대전광역시,대덕구,직장,43,28,대전광역시 대덕구 대덕대로1277번길 90 제3공단 (문평동),042-333-7180,,3,1,6,N,,2019-04-18
"푸른어린이집",대전광역시,대덕구,민간,46,34,대전광역시 대덕구 우암동로 23 (비래동),042-621-6901,,5,0,13,Y,,2019-04-18
"푸른정원어린이집",대전광역시,대덕구,가정,20,6,"대전광역시 대덕구 동춘당로 151 111동 103호(법동, 그린아파트)",042-335-6678,,3,0,4,Y,,2019-04-18
"풀잎어린이집",대전광역시,대덕구,가정,20,10,"대전광역시 대덕구 계족로663번길 23 3동 102호(법동, 유원아파트)",042-622-8554,,4,0,4,Y,,2019-04-18
"피피쿠스사랑어린이집",대전광역시,대덕구,민간,119,91,대전광역시 대덕구 동춘당로15번길 1 (송촌동),042-635-0078,,10,2,20,Y,,2019-04-18
"하나몬테소리어린이집",대전광역시,대덕구,가정,20,20,"대전광역시 대덕구 동춘당로114번길 60 308동 106호(송촌동, 선비마을3단지아파트)",042-637-6380,,4,0,4,Y,,2019-04-18
"하나어린이집",대전광역시,대덕구,가정,20,14,"대전광역시 대덕구 계족로690번길 21 102동 103호(법동, 선비마을1단지아파트)",042-636-2207,,4,0,4,N,,2019-04-18
"하늘꿈어린이집",대전광역시,대덕구,민간,97,67,대전광역시 대덕구 신탄진동로24번길 42 (신탄진동),042-931-2378,,7,1,10,Y,,2019-04-18
"하늘별어린이집",대전광역시,대덕구,민간,115,63,대전광역시 대덕구 덕암북로96번길 18 하늘별어린이집 (덕암동),042-932-8900,,12,1,16,Y,,2019-04-18
"하늘사랑어린이집",대전광역시,대덕구,가정,17,8,대전광역시 대덕구 석봉로30번안길 57 (석봉동) 서우아파트 103동106호,042-936-3732,,3,0,4,Y,,2019-04-18
"하브루타kids어린이집",대전광역시,대덕구,민간,40,30,"대전광역시 대덕구 덕암로 200 101동 보육시설(평촌동, 행복한마을아파트)",042-931-1333,,7,0,8,Y,,2019-04-18
"한국타이어동그라미대전어린이집",대전광역시,대덕구,직장,64,47,대전광역시 대덕구 대덕대로1514번길 11,042-933-1518,,5,1,13,N,,2019-04-18
"한라어린이집",대전광역시,대덕구,가정,20,17,대전광역시 대덕구 대덕대로1448번길 101 (목상동),042-933-4289,,3,0,3,Y,,2019-04-18
"한마음어린이집",대전광역시,대덕구,가정,20,20,대전광역시 대덕구 대덕대로1470번길 55 (목상동),042-933-2985,,4,0,5,Y,,2019-04-18
"한빛어린이집",대전광역시,대덕구,민간,25,9,대전광역시 대덕구 한밭대로1111번길 58 (중리동),042-623-2007,,4,0,4,N,,2019-04-18
"한신휴어린이집",대전광역시,대덕구,민간,34,28,대전광역시 대덕구 비래서로10번길 21 한신휴아파트 관리동1층 (비래동),042-625-2310,,4,0,4,Y,,2019-04-18
"해맑은어린이집",대전광역시,대덕구,민간,34,21,대전광역시 대덕구 동서대로1761번길 15-6 (송촌동),042-624-4229,,5,0,6,Y,,2019-04-18
"해바라기어린이집",대전광역시,대덕구,민간,94,93,대전광역시 대덕구 석봉북로15번길 19 (석봉동),042-932-0232,,7,0,10,Y,,2019-04-18
"해오름어린이집",대전광역시,대덕구,가정,20,11,대전광역시 대덕구 대오길 41 (대화동),042-636-5005,,3,0,4,Y,,2019-04-18
"햇살어린이집",대전광역시,대덕구,가정,20,12,대전광역시 대덕구 대덕대로1458번길 36 (목상동),042-931-9351,,4,0,4,Y,,2019-04-18
"행복색채어린이집",대전광역시,대덕구,국공립,69,66,대전광역시 대덕구 비래서로25번길 53 (비래동),042-633-4956,,5,1,8,Y,,2019-04-18
"행복한어린이집",대전광역시,대덕구,가정,19,9,"대전광역시 대덕구 동춘당로114번길 60 309동 101호(송촌동, 선비마을3단지아파트)",042-623-7942,,3,0,4,Y,,2019-04-18
"현대어린이집",대전광역시,대덕구,가정,19,5,"대전광역시 대덕구 계족로761번길 24 101동 102호(읍내동, 현대아파트)",042-622-2004,,3,0,4,Y,,2019-04-18
"회덕하나푸르니어린이집",대전광역시,대덕구,국공립,47,28,대전광역시 대덕구 대전로 1376 (회덕동),042-673-8329,,4,1,11,Y,,2019-04-18
