"어린이집명",시도명,시군구명,어린이집유형구분,정원수,보육교직원수,소재지도로명주소,어린이집전화번호,어린이집팩스번호,보육실수,놀이터수,CCTV설치수,통학차량운영여부,홈페이지주소,데이터기준일자
"꿈그린어린이집",대전광역시,유성구,민간,49,10,"대전광역시 유성구 지족북로 60 2BL 관리동 (지족동, 한화꿈에그린 2블럭)",042-822-7976,,,,,N,,2019-04-04
"꿈꾸는세상어린이집",대전광역시,유성구,가정,20,6,"대전광역시 유성구 봉명로 93 608동 101호(봉명동, 도안6단지 센트럴시티)",042-322-7845,,,,,Y,,2019-04-04
"꿈꾸는어린이집",대전광역시,유성구,가정,20,6,"대전광역시 유성구 송림로 13 104동 104호(하기동, 송림마을1단지아파트)",042-822-2540,,,,,Y,,2019-04-04
"꿈마루어린이집",대전광역시,유성구,가정,13,3,"대전광역시 유성구 진잠로42번길 88 201동 102호(원내동, 진잠타운아파트)",042-541-0266,,,,,N,,2019-04-04
"꿈보어린이집",대전광역시,유성구,국공립,53,10,대전광역시 유성구 신성로58번길 38-16 (신성동),042-863-7660,,,,,Y,,2019-04-04
"꿈사랑어린이집",대전광역시,유성구,가정,20,6,"대전광역시 유성구 죽동로 321 101동 103호 (죽동, 금성백조예미지)",042-824-3443,,,,,N,,2019-04-04
"꿈샘어린이집",대전광역시,유성구,가정,19,6,"대전광역시 유성구 송림로 13 송림마을 102동 101호 (하기동, 송림마을아파트1단지)",042-487-0861,,,,,Y,,2019-04-04
"꿈아띠어린이집",대전광역시,유성구,가정,20,5,"대전광역시 유성구 노은동로 187 605동 103호(지족동, 열매마을6단지아파트)",042-822-2168,,,,,Y,,2019-04-04
"꿈에그린아이숲어린이집",대전광역시,유성구,가정,20,9,"대전광역시 유성구 지족북로 33 107동 104호 (지족동, 한화꿈에그린1단지)",042-826-5901,,,,,N,,2019-04-04
"꿈에그린어린이집",대전광역시,유성구,민간,30,5,"대전광역시 유성구 배울2로 6 (관평동, 테크노밸리1단지아파트내)",042-933-7997,,,,,N,,2019-04-04
"꿈이있는어린이집",대전광역시,유성구,민간,86,11,"대전광역시 유성구 지족로 317 (지족동, 반석마을1단지아파트내)",042-826-2580,,,,,Y,,2019-04-04
"꿈이자라는땅어린이집",대전광역시,유성구,민간,33,10,"대전광역시 유성구 배울2로 61 (관평동, 테크노밸리10단지아파트내)",042-933-8569,,,,,N,,2019-04-04
"꿈이크는어린이집",대전광역시,유성구,가정,18,6,"대전광역시 유성구 배울2로 78 602동 103호(관평동, 테크노밸리6단지아파트)",042-933-7977,,,,,N,,2019-04-04
"꿈초롱어린이집",대전광역시,유성구,가정,19,5,"대전광역시 유성구 배울2로 19 901동 101호(관평동, 테크노밸리9단지아파트)",042-935-7776,,,,,N,,2019-04-04
"나라연어린이집",대전광역시,유성구,가정,20,5,"대전광역시 유성구 은구비남로 56 903동 103호(노은동, 열매마을9단지아파트)",042-826-8879,,,,,N,,2019-04-04
"나무를키우는햇살어린이집",대전광역시,유성구,가정,20,7,"대전광역시 유성구 가정로 65 102동 102호(신성동, 대림두레아파트)",042-224-7942,,,,,Y,,2019-04-04
"나무숲어린이집",대전광역시,유성구,민간,50,10,"대전광역시 유성구 죽동로 72 (죽동, 천년나무아파트)",042-824-1411,,,,,N,,2019-04-04
"나클래도만스쿨어린이집",대전광역시,유성구,가정,20,8,"대전광역시 유성구 대정로28번안길 80 201동 104호(대정동, 드리움2단지아파트)",042-545-4115,,,,,N,,2019-04-04
"날아라올챙이어린이집",대전광역시,유성구,가정,20,7,"대전광역시 유성구 은구비남로 56 907동 102호(노은동, 열매마을9단지아파트)",042-826-7590,,,,,N,,2019-04-04
"내안애어린이집",대전광역시,유성구,민간,41,10,"대전광역시 유성구 도안동로 446 (원신흥동, 양우내안애아파트관리동)",042-524-1000,,,,,Y,,2019-04-04
"너랑나랑어린이집",대전광역시,유성구,가정,20,5,"대전광역시 유성구 지족동로 123 해랑숲마을 606동 101호 (지족동, 노은해랑숲마을6단지아파트)",042-826-1322,,,,,N,,2019-04-04
"네버랜드어린이집",대전광역시,유성구,가정,20,7,"대전광역시 유성구 엑스포로 448 510동 104호(전민동, 엑스포아파트)",042-867-5221,,,,,N,,2019-04-04
"네오미아어린이집",대전광역시,유성구,민간,32,9,"대전광역시 유성구 배울2로 78 (관평동, 테크노밸리6단지아파트내)",042-671-1212,,,,,N,,2019-04-04
"네오어린이집",대전광역시,유성구,민간,49,9,"대전광역시 유성구 덕명로 26 (덕명동, 네오미아아파트 관리동)",042-822-0226,,,,,Y,,2019-04-04
"네이처뷰어린이집",대전광역시,유성구,민간,63,11,"대전광역시 유성구 지족로148번길 22 네이처뷰아파트 내 (지족동, 엘에이치 네이처뷰)",042-822-1569,,,,,N,,2019-04-04
"노은꿈에그린어린이집",대전광역시,유성구,가정,20,7,"대전광역시 유성구 지족북로 60 한화꿈에그린아파트 202동 104호 (지족동, 한화꿈에그린 2블럭)",042-345-3579,,,,,Y,,2019-04-04
"노은리슈빌어린이집",대전광역시,유성구,민간,47,12,"대전광역시 유성구 지족동로 124 (지족동, 노은리슈빌3)",042-335-1140,,,,,N,,2019-04-04
"노은예그리나어린이집",대전광역시,유성구,민간,33,7,"대전광역시 유성구 노은서로 222 (지족동, 열매마을1단지아파트내)",042-384-7575,,,,,N,,2019-04-04
"노은큰꿈어린이집",대전광역시,유성구,가정,20,7,"대전광역시 유성구 은구비남로 55 705동 104호(지족동, 열매마을7단지아파트)",042-825-9512,,,,,Y,,2019-04-04
"노은킨더맘어린이집",대전광역시,유성구,가정,20,3,"대전광역시 유성구 은구비남로 55 709동 101호(지족동, 열매마을7단지아파트)",042-862-2329,,,,,Y,,2019-04-04
"노은피피쿠스어린이집",대전광역시,유성구,민간,77,11,대전광역시 유성구 북유성대로155번길 45-6 (지족동),042-825-5670,,,,,Y,,2019-04-04
"놀이생각어린이집",대전광역시,유성구,가정,20,7,대전광역시 유성구 진잠로78번길 30 (원내동),042-543-8844,,,,,Y,,2019-04-04
"늘사랑어린이집",대전광역시,유성구,가정,20,6,"대전광역시 유성구 동서대로 725 1201동 103호(원신흥동, 어울림하트아파트)",042-353-9011,,,,,N,,2019-04-04
"다니엘어린이집",대전광역시,유성구,가정,20,8,"대전광역시 유성구 전민로 71 101동 103호(전민동, 삼성푸른아파트)",042-861-8414,,,,,N,,2019-04-04
"다솔어린이집",대전광역시,유성구,가정,20,5,"대전광역시 유성구 봉명로 93 601동 102호(봉명동, 도안6단지 센트럴시티)",042-825-5250,,,,,Y,,2019-04-04
"다솜어린이집",대전광역시,유성구,민간,34,7,"대전광역시 유성구 노은로 416 (하기동, 송림마을5단지아파트 관리동)",042-824-3356,,,,,Y,,2019-04-04
"다올어린이집",대전광역시,유성구,가정,20,5,"대전광역시 유성구 장대로71번길 34 101동 102호(장대동, 장대푸르지오)",042-823-7914,,,,,N,,2019-04-04
"대덕대학교부속어린이집",대전광역시,유성구,법인·단체,75,12,대전광역시 유성구 가정북로 68 대덕대학교내 (장동),042-866-0860,,,,,N,,2019-04-04
"대덕밸리어린이집",대전광역시,유성구,민간,99,12,"대전광역시 유성구 전민로 71 (전민동, 삼성푸른아파트)",042-862-6677,,,,,Y,,2019-04-04
"대우어린이집",대전광역시,유성구,민간,31,6,"대전광역시 유성구 배울1로 13 (관평동, 테크노밸리2단지아파트 관리동)",042-671-0002,,,,,N,,2019-04-04
"도담어린이집",대전광역시,유성구,가정,20,3,"대전광역시 유성구 진잠로149번길 24 101동 101호(교촌동, 제이파크아파트)",042-544-7780,,,,,N,,2019-04-04
"도안별사랑어린이집",대전광역시,유성구,가정,20,6,"대전광역시 유성구 봉명로 94 713동 101호 (봉명동, 도안신도시7단지예미지백조의호수)",042-825-4894,,,,,Y,,2019-04-04
"도안보노보노어린이집",대전광역시,유성구,가정,20,6,"대전광역시 유성구 봉명로 93 603동 104호(봉명동, 도안6단지 센트럴시티)",042-320-9100,,,,,Y,,2019-04-04
"도안어린이집",대전광역시,유성구,민간,61,13,"대전광역시 유성구 도안대로 560 (봉명동, 도안마을1단지아파트 관리동)",042-826-7614,,,,,Y,,2019-04-04
"도안온새미어린이집",대전광역시,유성구,가정,20,5,"대전광역시 유성구 봉명로 94 예미지 714동 102호 (봉명동, 도안신도시7단지예미지백조의호수)",042-861-1116,,,,,N,,2019-04-04
"도안푸른새싹어린이집",대전광역시,유성구,민간,39,1,대전광역시 유성구 원신흥로55번길 6-67 (원신흥동),042-822-4179,,,,,Y,,2019-04-04
"동산어린이집",대전광역시,유성구,가정,20,5,"대전광역시 유성구 송강로42번길 61 205동 107호 (송강동, 청솔아파트)",042-934-7444,,,,,Y,,2019-04-04
"동화나라어린이집",대전광역시,유성구,가정,20,9,"대전광역시 유성구 가정로 63 106동 102호(신성동, 럭키하나아파트)",042-862-2500,,,,,Y,,2019-04-04
"동화속아이들어린이집",대전광역시,유성구,가정,20,6,"대전광역시 유성구 진잠로149번길 30 202동 102호(교촌동, 미메이드아파트)",042-543-3350,,,,,N,,2019-04-04
"동화속어린이집",대전광역시,유성구,가정,17,3,"대전광역시 유성구 어은로 57 113동 106호(어은동, 한빛아파트)",042-861-8461,,,,,N,,2019-04-04
"동화속작은마을어린이집",대전광역시,유성구,가정,19,1,"대전광역시 유성구 반석서로 109 706동 101호(반석동, 반석마을7단지아파트)",042-369-4824,,,,,Y,,2019-04-04
"동화요정어린이집",대전광역시,유성구,가정,12,2,"대전광역시 유성구 원내로 52 303동 104호(원내동, 샘물타운아파트)",042-361-6615,,,,,N,,2019-04-04
"드리움어린이집",대전광역시,유성구,민간,32,5,"대전광역시 유성구 대정로28번길 50 (대정동, 드리움1단지 아파트내)",042-542-1237,,,,,N,,2019-04-04
"드리움영재어린이집",대전광역시,유성구,가정,19,3,"대전광역시 유성구 대정로28번길 50 103동 105호(대정동, 드리움1단지아파트)",042-545-7942,,,,,N,,2019-04-04
"드림월드어린이집",대전광역시,유성구,민간,28,6,"대전광역시 유성구 문화원로 13 (장대동, 드림월드아파트 관리동)",042-331-2909,,,,,N,,2019-04-04
"들꽃어린이집",대전광역시,유성구,가정,20,7,"대전광역시 유성구 엑스포로 448 105동 105호(전민동, 엑스포아파트)",042-861-9171,,,,,N,,2019-04-04
"라온제나어린이집",대전광역시,유성구,가정,20,4,"대전광역시 유성구 도안동로 523 호반베르디움아파트 208동 103호 (봉명동, 베르디움)",042-352-4557,,,,,N,,2019-04-04
"라은어린이집",대전광역시,유성구,직장,20,6,대전광역시 유성구 노은서로86번길 22 (노은동),042-826-6775,,,,,Y,,2019-04-04
"로렌츠굿맘드리움어린이집",대전광역시,유성구,가정,19,5,"대전광역시 유성구 대정로28번길 50 105동 105호(대정동, 드리움1단지아파트)",042-544-1237,,,,,N,,2019-04-04
"롯데케미칼푸르니2어린이집",대전광역시,유성구,직장,20,6,"대전광역시 유성구 가정로 65 109동 101호(신성동, 대림두레아파트)",042-864-3057,,,,,N,,2019-04-04
"롯데케미칼푸르니어린이집",대전광역시,유성구,직장,20,5,"대전광역시 유성구 가정로 65 109동 102호 (신성동, 대림두레아파트)",042-861-3057,,,,,N,,2019-04-04
"리베폴어린이집",대전광역시,유성구,가정,20,5,"대전광역시 유성구 관평1로 12 706동 102호(관평동, 테크노밸리7단지아파트)",042-671-0009,,,,,N,,2019-04-04
"리빙포레숲어린이집",대전광역시,유성구,가정,20,5,대전광역시 유성구 학하중앙로 99 오투그란데 리빙포레 아파트 302동 102호,042-825-2624,,,,,N,,2019-04-04
"리틀리더스어린이집",대전광역시,유성구,가정,19,3,"대전광역시 유성구 배울2로 3 810동 101호(관평동, 테크노밸리8단지아파트)",042-321-4289,,,,,N,,2019-04-04
"리틀베어어린이집",대전광역시,유성구,가정,15,7,"대전광역시 유성구 노은서로210번길 32 406동 101호(지족동, 열매마을4단지아파트)",042-826-4279,,,,,N,,2019-04-04
"리틀영재어린이집",대전광역시,유성구,가정,19,1,"대전광역시 유성구 구즉로 16 108동 107호(송강동, 한마을아파트)",042-935-4200,,,,,Y,,2019-04-04
"맑은내어린이집",대전광역시,유성구,민간,39,7,대전광역시 유성구 문화원로38번길 13 (궁동),042-822-8026,,,,,Y,,2019-04-04
"맘스마인드어린이집",대전광역시,유성구,민간,32,7,대전광역시 유성구 학하중앙로128번길 22-10 (학하동),042-826-0248,,,,,N,,2019-04-04
"메리힐어린이집",대전광역시,유성구,민간,141,19,대전광역시 유성구 대덕대로925번길 26-9 (화암동),042-934-2296,,,,,Y,,2019-04-04
"메이플트리어린이집",대전광역시,유성구,민간,25,7,"대전광역시 유성구 유성대로783번길 38 장대동, 월드컵패밀리아파트 관리동",042-477-5835,,,,,Y,,2019-04-04
"명지어린이집",대전광역시,유성구,협동,31,7,대전광역시 유성구 가정로 83-1,042-867-3164,,,,,Y,,2019-04-04
"미메이드어린이집",대전광역시,유성구,민간,25,6,"대전광역시 유성구 진잠로149번길 30 (교촌동, 미메이드아파트 관리동)",042-542-7780,,,,,N,,2019-04-04
"미학어린이집",대전광역시,유성구,민간,44,11,"대전광역시 유성구 학하남로 10 (계산동, 오투그란데 미학아파트 관리동)",042-826-2004,,,,,N,,2019-04-04
"바다사랑어린이집",대전광역시,유성구,가정,19,3,"대전광역시 유성구 구즉로 16 106동 101호(송강동, 한마을아파트)",042-931-2221,,,,,N,,2019-04-04
"반석꿈나래어린이집",대전광역시,유성구,가정,20,9,"대전광역시 유성구 지족로 317 101동 104호(지족동, 반석마을1단지아파트)",042-826-6131,,,,,Y,,2019-04-04
"반석아이꿈어린이집",대전광역시,유성구,사회복지법인,55,12,대전광역시 유성구 반석서로71번길 12 (반석동),042-826-0101,,,,,Y,,2019-04-04
"반석조은어린이집",대전광역시,유성구,가정,20,5,"대전광역시 유성구 반석서로 98 604동 103호(반석동, 반석마을6단지아파트)",042-320-7179,,,,,Y,,2019-04-04
"법무부함께크는어린이집",대전광역시,유성구,직장,48,7,대전광역시 유성구 한우물로66번길 2-50 (대정동),042-541-7545,,,,,Y,,2019-04-04
"별초롱어린이집",대전광역시,유성구,민간,24,9,대전광역시 유성구 신성로58번길 60 (신성동),042-863-8898,,,,,Y,,2019-04-04
"보노보노어린이집",대전광역시,유성구,가정,19,5,"대전광역시 유성구 대정로28번길 50 102동 102호(대정동, 드리움1단지아파트)",042-369-5252,,,,,N,,2019-04-04
"보리네숲어린이집",대전광역시,유성구,민간,47,8,대전광역시 유성구 외삼로156번길 37 (외삼동),042-822-0772,,,,,Y,,2019-04-04
"보예굿맘어린이집",대전광역시,유성구,가정,20,6,"대전광역시 유성구 배울2로 6 103동 101호(관평동, 테크노밸리1단지아파트)",042-328-1020,,,,,N,,2019-04-04
"봄빛어린이집",대전광역시,유성구,가정,20,6,"대전광역시 유성구 지족북로 60 한화꿈에그린아파트 204동 101호 (지족동, 한화꿈에그린 2블럭)",042-823-2855,,,,,N,,2019-04-04
"봉산아이어린이집",대전광역시,유성구,가정,18,5,"대전광역시 유성구 와룡로136번길 15 108동 102호(봉산동, 하늘바람휴먼시아)",042-936-9141,,,,,N,,2019-04-04
"봉산우리어린이집",대전광역시,유성구,민간,37,11,"대전광역시 유성구 와룡로136번길 15 (봉산동, 하늘바람휴먼시아 1단지내)",042-933-9141,,,,,Y,,2019-04-04
"브니엘어린이집",대전광역시,유성구,민간,26,5,"대전광역시 유성구 와룡로136번길 75 (봉산동, 휴먼시아2단지아파트내)",042-935-0675,,,,,Y,,2019-04-04
"빛과소금어린이집",대전광역시,유성구,가정,20,3,"대전광역시 유성구 지족동로 124 105동 101호 (지족동, 노은리슈빌3)",042-335-3576,,,,,N,,2019-04-04
"뿌리와새싹어린이집",대전광역시,유성구,국공립,94,17,대전광역시 유성구 관들5길 18 (관평동),042-935-8237,,,,,N,,2019-04-04
"사과가쿵어린이집",대전광역시,유성구,민간,70,9,"대전광역시 유성구 진잠로42번길 88 (원내동, 진잠타운아파트관리동)",042-545-3384,,,,,Y,,2019-04-04
"사과나무어린이집",대전광역시,유성구,가정,18,8,대전광역시 유성구 신성남로 61-7 (신성동),042-369-9626,,,,,Y,,2019-04-04
"사랑나라어린이집",대전광역시,유성구,가정,20,6,"대전광역시 유성구 지족북로 60 노은한화꿈에그린 202동 102호 (지족동, 한화꿈에그린 2블럭)",042-822-3927,,,,,Y,,2019-04-04
"사랑나무어린이집",대전광역시,유성구,민간,56,13,"대전광역시 유성구 봉명로 94 (봉명동, 도안신도시7단지예미지백조의호수 관리동)",042-826-5990,,,,,Y,,2019-04-04
"사랑둥이어린이집",대전광역시,유성구,가정,19,6,"대전광역시 유성구 와룡로136번길 15 101동 103호(봉산동, 하늘바람휴먼시아)",042-936-8336,,,,,Y,,2019-04-04
"사랑뜰도만스쿨어린이집",대전광역시,유성구,민간,49,10,"대전광역시 유성구 학하로 33 (계산동, 학하리슈빌 학의뜰아파트 관리동)",042-826-0506,,,,,N,,2019-04-04
"사랑모아어린이집",대전광역시,유성구,가정,18,5,"대전광역시 유성구 엑스포로 448 202동 102호(전민동, 엑스포아파트)",042-867-2194,,,,,N,,2019-04-04
"사랑샘어린이집",대전광역시,유성구,가정,20,7,"대전광역시 유성구 배울1로 35 406동 101호(관평동, 테크노밸리4단지아파트)",042-369-4799,,,,,N,,2019-04-04
"사랑애어린이집",대전광역시,유성구,민간,43,8,"대전광역시 유성구 지족로190번길 39 노은 7단지내 관리동 (지족동, LH노은에코힐)",042-825-2181,,,,,N,,2019-04-04
"사랑퐁당어린이집",대전광역시,유성구,가정,20,6,"대전광역시 유성구 상대로 17 310동 102호(상대동, 한라비발디아파트)",042-822-1030,,,,,N,,2019-04-04
"사랑향기어린이집",대전광역시,유성구,가정,20,6,"대전광역시 유성구 엑스포로 448 502동 102호(전민동, 엑스포아파트)",042-385-5454,,,,,N,,2019-04-04
"사이언스대덕어린이집",대전광역시,유성구,직장,256,36,대전광역시 유성구 가정로 122 (신성동),042-863-2231,,,,,N,,2019-04-04
"사이언스신성어린이집",대전광역시,유성구,직장,300,55,대전광역시 유성구 과학로 200 (신성동),042-864-3177,,,,,N,,2019-04-04
"산들어린이집",대전광역시,유성구,사회복지법인,104,12,대전광역시 유성구 엑스포로295번길 43 (원촌동),042-864-3232,,,,,Y,,2019-04-04
"상록어린이집",대전광역시,유성구,민간,47,6,"대전광역시 유성구 노은동로 111 (노은동, 열매마을10단지관리동)",042-826-6070,,,,,N,,2019-04-04
"상아어린이집",대전광역시,유성구,사회복지법인,79,11,대전광역시 유성구 하기로 151 (하기동),042-863-6780,,,,,Y,,2019-04-04
"상지어린이집",대전광역시,유성구,가정,20,3,"대전광역시 유성구 구즉로 16 101동 102호(송강동, 한마을아파트)",042-936-3454,,,,,Y,,2019-04-04
"새미래숲어린이집",대전광역시,유성구,민간,72,11,"대전광역시 유성구 지족로190번길 16 (지족동, 새미래숲아파트)",042-823-7970,,,,,N,,2019-04-04
"새봄뜰어린이집",대전광역시,유성구,가정,20,6,"대전광역시 유성구 은구비남로 56 906동 102호(노은동, 열매마을9단지아파트)",042-826-5958,,,,,N,,2019-04-04
"새봄어린이집",대전광역시,유성구,가정,19,4,"대전광역시 유성구 구즉로 25 308동 104호(송강동, 송강그린아파트)",042-935-5278,,,,,N,,2019-04-04
"새생명어린이집",대전광역시,유성구,민간,39,7,대전광역시 유성구 전민로38번길 38 새생명교회 (전민동),042-867-6677,,,,,Y,,2019-04-04
"새싹이돋아나는어린이집",대전광역시,유성구,민간,33,9,대전광역시 유성구 신성로84번길 45 (신성동),042-862-0357,,,,,Y,,2019-04-04
"새콤달콤어린이집",대전광역시,유성구,가정,20,7,"대전광역시 유성구 진잠로42번길 30 101동 106호(원내동, 한아름아파트)",042-545-9414,,,,,Y,,2019-04-04
"샘물사랑어린이집",대전광역시,유성구,가정,20,4,"대전광역시 유성구 원내로 52 302동 102호(원내동, 샘물타운아파트)",042-365-6069,,,,,N,,2019-04-04
"샘물어린이집",대전광역시,유성구,가정,19,6,"대전광역시 유성구 원내로 52 302동 101호(원내동, 샘물타운아파트)",042-545-0289,,,,,Y,,2019-04-04
"샘솟는어린이집",대전광역시,유성구,민간,31,9,대전광역시 유성구 문화원로6번길 59 1층 (장대동),042-824-7999,,,,,Y,,2019-04-04
"생각나무어린이집",대전광역시,유성구,민간,51,8,"대전광역시 유성구 원신흥로 37 (원신흥동, 도안휴먼시아10단지아파트 관리동)",042-822-2446,,,,,N,,2019-04-04
"서광어린이집",대전광역시,유성구,민간,99,2,대전광역시 유성구 진잠로92번길 91 (원내동),042-543-3392,,,,,Y,,2019-04-04
"선사어린이집",대전광역시,유성구,민간,61,9,대전광역시 유성구 북유성대로155번길 45-14 (지족동),042-824-9913,,,,,Y,,2019-04-04
