"어린이집명",시도명,시군구명,어린이집유형구분,정원수,보육교직원수,소재지도로명주소,어린이집전화번호,어린이집팩스번호,보육실수,놀이터수,CCTV설치수,통학차량운영여부,홈페이지주소,데이터기준일자
"한사랑어린이집",대전광역시,동구,민간,23,8,대전광역시 동구 우암로311번길 24 (가양동),042-635-8415,,,,,,,2019-03-08
"해맑은i어린이집",대전광역시,동구,민간,61,5,대전광역시 동구 충정로74번길 25 (가양동),042-639-3004,,,,,,,2019-03-08
"아가사랑어린이집",대전광역시,동구,가정,18,4,"대전광역시 동구 충정로 136 104동 101호(가양동, 대주파크빌)",042-637-7002,,,,,,,2019-03-08
"아이뜰 어린이집",대전광역시,동구,가정,20,3,대전광역시 동구 우암로311번길 46 (가양동),042-622-9402,,,,,,,2019-03-08
"아이비어린이집",대전광역시,동구,가정,20,3,대전광역시 동구 우암로295번길 24 (가양동),042-625-7614,,,,,,,2019-03-08
"대동어린이집",대전광역시,동구,국공립,62,12,대전광역시 동구 백룡로48번길 79 (대동),042-622-4983,,,,,,,2019-03-08
"이솔어린이집",대전광역시,동구,국공립,51,8,"대전광역시 동구 동대전로46번길 30 (신흥동, 이스트시티1단지 관리동)",042-274-2523,,,,,,,2019-03-08
"대신어린이집",대전광역시,동구,민간,42,9,대전광역시 동구 계족로 137 대신새들뫼 휴먼시아아파트 1단지 (대동),042-285-2100,,,,,,,2019-03-08
"새들뫼어린이집",대전광역시,동구,민간,21,5,대전광역시 동구 계족로 135 새들뫼 휴먼시아아파트2단지 관리동어린이집 (대동),042-320-6463,,,,,,,2019-03-08
"펜타뷰라온어린이집",대전광역시,동구,민간,47,9,대전광역시 동구 계족로140번길 33 (대동.펜타뷰),042-271-3222,,,,,,,2019-03-08
"해바라기어린이집",대전광역시,동구,민간,47,7,대전광역시 동구 대동초등5길 5 (대동),042-272-7799,,,,,,,2019-03-08
"고은빛어린이집",대전광역시,동구,가정,20,6,대전광역시 동구 계족로 137 새들뫼 휴먼시아아파트 109동 103호 (대동),042-274-8479,,,,,,,2019-03-08
"꼬마숲어린이집",대전광역시,동구,가정,20,6,"대전광역시 동구 계족로 137 103-104 (대동,휴먼시아)",042-283-7799,,,,,,,2019-03-08
"별하어린이집",대전광역시,동구,가정,20,8,"대전광역시 동구 계족로 137 110-102 (대동,휴먼시아)",042-282-2988,,,,,,,2019-03-08
"아랑어린이집",대전광역시,동구,가정,20,5,"대전광역시 동구 동대전로46번길 30 102동 101호(신흥동,LH이스트시티1단지)",042-272-7773,,,,,,,2019-03-08
"은샘어린이집",대전광역시,동구,가정,16,1,대전광역시 동구 동대전로110번길 53 (대동),042-636-3313,,,,,,,2019-03-08
"키즈드림어린이집",대전광역시,동구,가정,20,6,"대전광역시 동구 계족로140번길 33 104-104 (대동,펜타뷰)",042-286-5044,,,,,,,2019-03-08
"펜타뷰샛별어린이집",대전광역시,동구,가정,20,4,"대전광역시 동구 계족로140번길 33 103-105 (대동,펜타뷰)",042-286-2486,,,,,,,2019-03-08
"펜타뷰튼튼어린이집",대전광역시,동구,가정,20,6,"대전광역시 동구 계족로140번길 33 102-102 (대동,펜타뷰)",042-284-0313,,,,,,,2019-03-08
"예빛어린이집",대전광역시,동구,국공립,37,6,대전광역시 동구 산내로 1352-25 (낭월동),042-274-0593,,,,,,,2019-03-08
"장애아전담성심어린이집",대전광역시,동구,사회복지법인,30,19,대전광역시 동구 산내로386번길 8-30 성심보육원내 (하소동),042-273-8777,,,,,,,2019-03-08
e편한세상어린이집,대전광역시,동구,민간,40,5,대전광역시 동구 산내로 1330 110동 1층,042-285-0222,,,,,,,2019-03-08
"그린어린이집",대전광역시,동구,민간,21,4,대전광역시 동구 대전로340번길 15 105동 은어송코오롱하늘채2차 관리동 1층(대성동),042-282-9222,,,,,,,2019-03-08
"돋을별어린이집",대전광역시,동구,민간,115,10,대전광역시 동구 산내로1287번길 10-12 (낭월동),042-285-7979,,,,,,,2019-03-08
"석천들어린이집",대전광역시,동구,민간,27,3,대전광역시 동구 산내로1257번길 40 석천들마을아파트 관리동 1층(낭월동),042-285-0700,,,,,,,2019-03-08
"숲속예능어린이집",대전광역시,동구,민간,90,9,대전광역시 동구 학고개로 66-10 (이사동),042-282-6700,,,,,,,2019-03-08
"예뜰어린이집",대전광역시,동구,민간,49,4,대전광역시 동구 산내로1308번길 3-42 (대성동),042-284-0955,,,,,,,2019-03-08
"이솝어린이집",대전광역시,동구,민간,37,7,대전광역시 동구 산내로 1375 오투그란데아파트 104동 관리동 1층 (낭월동),042-272-5279,,,,,,,2019-03-08
"토토어린이집",대전광역시,동구,민간,130,7,대전광역시 동구 산서로 1587 (대별동),042-271-7557,,,,,,,2019-03-08
"하늘채어린이집",대전광역시,동구,민간,85,8,대전광역시 동구 동구청로 35 하늘채아파트 관리동1층 (대성동),042-282-3366,,,,,,,2019-03-08
"향기나무어린이집",대전광역시,동구,민간,129,14,대전광역시 동구 산내로1287번길 40-21 (낭월동),042-286-3900,,,,,,,2019-03-08
"바다숲어린이집",대전광역시,동구,가정,18,3,"대전광역시 동구 산내로 1330 103-103(낭월동, e-편한세상)",042-285-5689,,,,,,,2019-03-08
"사랑나무어린이집",대전광역시,동구,가정,20,5,"대전광역시 동구 산내로 1330 105-103 (낭월동,e편한세상)",042-286-4785,,,,,,,2019-03-08
"삼익어린이집",대전광역시,동구,가정,15,4,"대전광역시 동구 대전로340번길 20 107동 101호(대성동, 삼익세라믹아파트)",042-331-4714,,,,,,,2019-03-08
"샤론어린이집",대전광역시,동구,가정,20,6,"대전광역시 동구 대전로340번길 15 104동 101호 (대성동, 은어송코오롱하늘채 2차)",042-272-1985,,,,,,,2019-03-08
"신나는어린이집",대전광역시,동구,가정,20,5,"대전광역시 동구 동구청로 35 201동 102호(대성동, 은어송마을2단지아파트)",042-272-1867,,,,,,,2019-03-08
"아기별 어린이집",대전광역시,동구,가정,20,5,"대전광역시 동구 산내로 1375 111동 102호(낭월동, 오투그란데아파트)",042-285-0010,,,,,,,2019-03-08
"아이마루어린이집",대전광역시,동구,가정,18,5,"대전광역시 동구 동구청로 35 211동 104호(대성동, 은어송마을2단지아파트)",042-286-6788,,,,,,,2019-03-08
"아이플레이어린이집",대전광역시,동구,가정,18,4,"대전광역시 동구 동구청로 35 203동 104호(대성동, 은어송마을2단지아파트)",042-285-5677,,,,,,,2019-03-08
"아이하늘채어린이집",대전광역시,동구,가정,18,6,"대전광역시 동구 동구청로 35 201동 103호(대성동, 은어송마을2단지아파트)",042-286-3533,,,,,,,2019-03-08
"엄마랑나랑어린이집",대전광역시,동구,가정,11,3,"대전광역시 동구 산내로1257번길 40 104동 105호(낭월동, 석천들아파트)",042-271-2470,,,,,,,2019-03-08
"우리아이어린이집",대전광역시,동구,가정,18,6,"대전광역시 동구 동구청로 35 203동 101호(대성동, 은어송마을코오롱하늘채2단지아파트)",042-285-3319,,,,,,,2019-03-08
"이레어린이집",대전광역시,동구,가정,20,6,"대전광역시 동구 산내로 1375 108동 102호(낭월동, 오투그란데아파트)",042-272-4211,,,,,,,2019-03-08
"즐거운어린이집",대전광역시,동구,가정,20,5,"대전광역시 동구 산내로 1330 103-102 (낭월동,남대전이편한세상아파트)",042-353-6463,,,,,,,2019-03-08
"포그니어린이집",대전광역시,동구,가정,20,4,"대전광역시 동구 산내로 1375 102동 102호(낭월동, 오투그란데아파트)",042-273-5512,,,,,,,2019-03-08
"하늘빛어린이집",대전광역시,동구,가정,17,4,"대전광역시 동구 대전로340번길 20 (대성동,삼익103-101)",042-284-7588,,,,,,,2019-03-08
"하몬어린이집",대전광역시,동구,가정,19,6,"대전광역시 동구 동구청로 35 207동 104호(대성동, 은어송마을코오롱하늘채2단지아파트)",042-286-8846,,,,,,,2019-03-08
"사회복지법인대전어린이집",대전광역시,동구,사회복지법인,332,28,대전광역시 동구 솔랑길 7 (삼성동),042-672-5670,,,,,,,2019-03-08
"도시락퍼포먼스어린이집",대전광역시,동구,민간,26,6,대전광역시 동구 대전로 935 관리동 1층 (삼성동),042-621-1489,,,,,,,2019-03-08
"삼성키즈킹덤어린이집",대전광역시,동구,민간,49,9,대전광역시 동구 대전천동로 686 (삼성동),042-625-2002,,,,,,,2019-03-08
"열매어린이집",대전광역시,동구,민간,48,10,대전광역시 동구 대전천북로 136 (삼성동),042-637-2233,,,,,,,2019-03-08
"다니엘어린이집",대전광역시,동구,가정,20,2,"대전광역시 동구 우암로 133-1 202동 103호(삼성동, 삼성타운2단지아파트)",042-636-2140,,,,,,,2019-03-08
"사랑퐁당어린이집",대전광역시,동구,가정,20,6,"대전광역시 동구 대전로 935 104동 101호(삼성동, 한밭자이아파트)",042-361-5071,,,,,,,2019-03-08
"한밭영재 어린이집",대전광역시,동구,가정,20,6,"대전광역시 동구 대전로 935 107동 103호(삼성동, 한밭자이아파트)",042-369-5071,,,,,,,2019-03-08
"성남어린이집",대전광역시,동구,사회복지법인,123,14,대전광역시 동구 성남로32번길 28-17 (성남동),042-634-7355,,,,,,,2019-03-08
"담쟁이어린이집",대전광역시,동구,민간,96,16,대전광역시 동구 성남로 16-1 (성남동),042-633-0456,,,,,,,2019-03-08
"스마트뷰어린이집",대전광역시,동구,민간,47,9,대전광역시 동구 성남로 15 (성남동  ),042-638-1233,,,,,,,2019-03-08
"아이림어린이집",대전광역시,동구,민간,28,5,대전광역시 동구 우암로 186 석촌마을아파트 관리동 (성남동),042-635-7355,,,,,,,2019-03-08
"햇빛어린이집",대전광역시,동구,민간,49,10,대전광역시 동구 계족로382번길 55 (성남동),042-622-0029,,,,,,,2019-03-08
"효촌마을어린이집",대전광역시,동구,민간,33,7,대전광역시 동구 계족로368번길 11 효촌마을아파트단지내어린이집 (성남동),042-627-6060,,,,,,,2019-03-08
"노리숲어린이집",대전광역시,동구,가정,20,6,"대전광역시 동구 성남로 15 109-105 (성남동,스마트뷰)",042-301-3456,,,,,,,2019-03-08
"예그랑어린이집",대전광역시,동구,가정,20,5,"대전광역시 동구 계족로368번길 11 207동 101호(성남동, 효촌마을아파트)",042-624-2535,,,,,,,2019-03-08
"참다운어린이집",대전광역시,동구,가정,20,7,대전광역시 동구 성남로 15 스마트뷰아파트109동102호 (성남동),042-638-1253,,,,,,,2019-03-08
"천사어린이집",대전광역시,동구,가정,20,5,"대전광역시 동구 성남로 15 104-104 (성남동,스마트뷰)",042-361-7342,,,,,,,2019-03-08
"해피키즈어린이집",대전광역시,동구,가정,20,6,"대전광역시 동구 성남로 15 105-104 (성남동,스마트뷰)",042-320-5503,,,,,,,2019-03-08
"한국병원부설어린이집",대전광역시,동구,직장,13,3,대전광역시 동구 동서대로1678번길 32-16 1층(성남동),042-606-1234,,,,,,,2019-03-08
"아이살림어린이집",대전광역시,동구,국공립,44,10,"대전광역시 동구 동대전로46번길 120 (신흥동, 이스트시티2단지 관리동)",042-284-1240,,,,,,,2019-03-08
"신흥어린이집",대전광역시,동구,법인·단체,50,9,대전광역시 동구 옻밭5길 14 (신흥동),042-283-4040,,,,,,,2019-03-08
"샘물 어린이집",대전광역시,동구,민간,32,6,대전광역시 동구 충무로203번길 26 (인동),042-285-5947,,,,,,,2019-03-08
"신흥마을 어린이집",대전광역시,동구,민간,27,4,"대전광역시 동구 옥천로 38 (신흥마을아파트, 신흥동)",042-284-4550,,,,,,,2019-03-08
"어진마을 어린이집",대전광역시,동구,민간,30,5,대전광역시 동구 계족로 65 어진마을아파트 주민복지관 (인동),042-284-2800,,,,,,,2019-03-08
"해달별어린이집",대전광역시,동구,민간,29,2,"대전광역시 동구 대전로 664 (현대아파트, 인동)",042-271-5593,,,,,,,2019-03-08
"꽃뜰어린이집",대전광역시,동구,가정,20,5,"대전광역시 동구 대전로 664 105동 104호(인동, 현대아파트)",042-286-5593,,,,,,,2019-03-08
"리틀피카소어린이집",대전광역시,동구,가정,18,5,"대전광역시 동구 계족로 65 104동 101호(인동, 어진마을아파트)",042-286-1600,,,,,,,2019-03-08
"미나어린이집",대전광역시,동구,가정,17,1,"대전광역시 동구 옥천로 38 102동 101호(신흥동, 신흥마을아파트)",042-284-6696,,,,,,,2019-03-08
"아이꿈어린이집",대전광역시,동구,가정,20,5,"대전광역시 동구 계족로 65 104동 102호(인동, 어진마을아파트)",042-320-5558,,,,,,,2019-03-08
"아이사랑어린이집",대전광역시,동구,가정,19,6,"대전광역시 동구 옥천로 38 108동 102호(신흥동, 신흥마을아파트)",042-271-1231,,,,,,,2019-03-08
"엄마사랑어린이집",대전광역시,동구,가정,20,6,"대전광역시 동구 옥천로 38 108동 101호(신흥동, 신흥마을아파트)",042-282-1233,,,,,,,2019-03-08
"은하수어린이집",대전광역시,동구,가정,18,7,"대전광역시 동구 대흥로206번길 54 102동 107호(인동, 부성한울아파트)",042-272-8876,,,,,,,2019-03-08
"새하얀어린이집",대전광역시,동구,사회복지법인,60,14,대전광역시 동구 새울로 54 (용운동),042-271-5717,,,,,,,2019-03-08
"용운어린이집",대전광역시,동구,사회복지법인,137,17,대전광역시 동구 대학로 8-18 (용운동),042-274-2728,,,,,,,2019-03-08
"꿈에그린 어린이집",대전광역시,동구,민간,58,4,대전광역시 동구 대학로50번길 53 꿈에그린아파트 관리동 (용운동),042-320-4560,,,,,,,2019-03-08
"데이지어린이집",대전광역시,동구,민간,198,22,대전광역시 동구 늘들길 16 (용운동),042-286-5500,,,,,,,2019-03-08
"새록새록어린이집",대전광역시,동구,민간,70,13,대전광역시 동구 용운로 80 용방마을아파트 관리동 (용운동),042-345-4646,,,,,,,2019-03-08
"소나무 어린이집",대전광역시,동구,민간,97,11,대전광역시 동구 동부로198번길 162 (용운동),042-272-8897,,,,,,,2019-03-08
"숲향기어린이집",대전광역시,동구,민간,85,14,대전광역시 동구 용운로 124-14 (용운동),042-272-3762,,,,,,,2019-03-08
"참사랑어린이집",대전광역시,동구,민간,97,13,대전광역시 동구 새울로 147-16 (용운동),042-283-5863,,,,,,,2019-03-08
"개구쟁이어린이집",대전광역시,동구,가정,16,5,"대전광역시 동구 대학로50번길 53 103동 102호(용운동, 꿈에그린아파트)",042-272-0305,,,,,,,2019-03-08
"별초롱은초롱어린이집",대전광역시,동구,가정,18,3,"대전광역시 동구 용운로 80 301동 101호(용운동, 용방마을아파트)",042-286-1106,,,,,,,2019-03-08
"보람어린이집",대전광역시,동구,가정,16,4,대전광역시 동구 새울로81번길 14-18 (용운동),042-284-1253,,,,,,,2019-03-08
"큰별어린이집",대전광역시,동구,가정,20,7,"대전광역시 동구 대학로50번길 53 104동 103호(용운동, 한화꿈에그린)",042-283-3778,,,,,,,2019-03-08
"푸른숲어린이집",대전광역시,동구,가정,14,3,"대전광역시 동구 용운로 80 302동 102호(용운동, 용방마을아파트)",042-286-1105,,,,,,,2019-03-08
"햇살어린이집",대전광역시,동구,가정,20,2,대전광역시 동구 새울로 147-17 (용운동),042-282-5863,,,,,,,2019-03-08
"수림어린이집",대전광역시,동구,사회복지법인,38,8,대전광역시 동구 한밭대로1237번길 72 (용전동),042-626-2530,,,,,,,2019-03-08
"무지개어린이집",대전광역시,동구,민간,125,20,대전광역시 동구 계족로463번길 41 (용전동),042-636-3255,,,,,,,2019-03-08
"와이즈런어린이집",대전광역시,동구,민간,37,8,대전광역시 동구 계족로457번길 38-9 (용전동),042-631-1100,,,,,,,2019-03-08
"하늘숲어린이집",대전광역시,동구,민간,49,7,대전광역시 동구 한밭대로1237번길 67 (용전동),042-635-1341,,,,,,,2019-03-08
"한숲어린이집",대전광역시,동구,민간,30,7,대전광역시 동구 계족로489번길 73 (용전동),042-637-3372,,,,,,,2019-03-08
"혜강어린이집",대전광역시,동구,민간,39,4,대전광역시 동구 계족로489번길 34-4 (용전동),042-625-9965,,,,,,,2019-03-08
"호서어린이집",대전광역시,동구,민간,99,9,대전광역시 동구 계족로464번길 11 (용전동),042-621-3414,,,,,,,2019-03-08
"사랑어린이집",대전광역시,동구,가정,20,3,"대전광역시 동구 한밭대로1237번길 52 8동 101호(용전동, 신동아아파트)",042-632-0575,,,,,,,2019-03-08
"새피앙어린이집",대전광역시,동구,가정,20,5,"대전광역시 동구 홍도로46번길 20 102동 103호(용전동, 새피앙아파트)",042-627-2221,,,,,,,2019-03-08
"예능어린이집",대전광역시,동구,가정,20,6,"대전광역시 동구 계족로489번길 73 102동 104호(용전동, 한숲아파트)",042-624-0124,,,,,,,2019-03-08
"예솔어린이집",대전광역시,동구,가정,20,6,"대전광역시 동구 계족로489번길 73 106동 101호(용전동, 한숲아파트)",042-625-6878,,,,,,,2019-03-08
"유엔어린이집",대전광역시,동구,가정,18,5,대전광역시 동구 계족로511번길 29-1 (용전동),042-624-9404,,,,,,,2019-03-08
"행복꿈어린이집",대전광역시,동구,가정,19,5,"대전광역시 동구 한밭대로1237번길 52 13동 106호(용전동, 신동아)",042-626-2534,,,,,,,2019-03-08
"행복한어린이집",대전광역시,동구,가정,20,3,"대전광역시 동구 계족로489번길 73 101동 104호(용전동, 한숲아파트)",042-621-2893,,,,,,,2019-03-08
"근로복지공단대전어린이집",대전광역시,동구,법인·단체,79,16,대전광역시 동구 백룡로5번길 143 (자양동),042-628-5581,,,,,,,2019-03-08
"꿈동산어린이집",대전광역시,동구,민간,155,27,대전광역시 동구 성동로 49-5 (자양동),042-627-8698,,,,,,,2019-03-08
"백합어린이집",대전광역시,동구,민간,71,10,대전광역시 동구 성동로 74 (자양동),042-627-8604,,,,,,,2019-03-08
"엔젤피아어린이집",대전광역시,동구,민간,42,3,대전광역시 동구 동대전로 210 (자양동),042-621-0004,,,,,,,2019-03-08
"예쁜어린이집",대전광역시,동구,민간,49,8,대전광역시 동구 백룡로11번길 125 (자양동),042-673-6041,,,,,,,2019-03-08
KR어린이집,대전광역시,동구,직장,30,10,대전광역시 동구 중앙로 242 (신안동)  한국철도시설공단 2층,042-621-2040,,,,,,,2019-03-08
"철도어린이집",대전광역시,동구,직장,85,20,대전광역시 동구 중앙로 242 (신안동),042-221-1560,,,,,,,2019-03-08
"판암사회복지관행복어린이집",대전광역시,동구,국공립,49,11,대전광역시 동구 옥천로 152-9 판암사회복지관행복어린이집 (판암동),042-271-5292,,,,,,,2019-03-08
"도원어린이집",대전광역시,동구,민간,21,5,대전광역시 동구 신기로 123-4 (판암1동),042-272-0540,,,,,,,2019-03-08
"올리브트리어린이집",대전광역시,동구,민간,131,9,대전광역시 동구 판암로62번길 62 (판암동),042-272-1157,,,,,,,2019-03-08
"그린코아어린이집",대전광역시,동구,가정,19,4,"대전광역시 동구 동부로10번길 55 104동 103호(판암동,삼정그린코아아파트)",042-285-0140,,,,,,,2019-03-08
"꿈쟁이어린이집",대전광역시,동구,가정,19,2,"대전광역시 동구 옥천로180번길 23 202동 105호(판암동, 주공아파트2단지)",042-283-5256,,,,,,,2019-03-08
"삼정키즈어린이집",대전광역시,동구,가정,19,4,"대전광역시 동구 동부로10번길 55 115동 104호(판암동, 삼정그린코아포레스트아파트)",042-282-7555,,,,,,,2019-03-08
"장수어린이집",대전광역시,동구,가정,19,2,"대전광역시 동구 동부로10번길 55 103동 102호(판암동, 삼정그린코아포레스트아파트)",042-633-4625,,,,,,,2019-03-08
"조은아이어린이집",대전광역시,동구,가정,19,3,"대전광역시 동구 옥천로180번길 23 201동 105호(판암동, 주공아파트2단지)",042-274-2211,,,,,,,2019-03-08
"천재어린이집",대전광역시,동구,가정,11,3,"대전광역시 동구 옥천로180번길 23 205동 105호(판암동,주공)",042-282-8771,,,,,,,2019-03-08
"코끼리 어린이집",대전광역시,동구,가정,18,5,"대전광역시 동구 옥천로180번길 23 201동 104호(판암동, 주공아파트)",042-272-9031,,,,,,,2019-03-08
"키즈피아어린이집",대전광역시,동구,가정,14,4,"대전광역시 동구 옥천로180번길 23 203동 102호(판암동, 주공아파트2단지)",042-341-9111,,,,,,,2019-03-08
"품속어린이집",대전광역시,동구,가정,18,6,"대전광역시 동구 옥천로180번길 47-2 103동 106호(판암동, 주공아파트1단지)",042-322-7735,,,,,,,2019-03-08
"하나어린이집",대전광역시,동구,가정,17,4,"대전광역시 동구 동구청로203번길 35 103동 104호(판암동, 미리내아파트)",042-272-3281,,,,,,,2019-03-08
"사랑뜰어린이집",대전광역시,동구,국공립,77,13,대전광역시 동구 동부로 56-7 (판암2동),042-283-9193,,,,,,,2019-03-08
"오렌지어린이집",대전광역시,동구,민간,25,6,대전광역시 동구 동부로 73 판암주공5단지 관리동 1층(판암2동),042-282-8832,,,,,,,2019-03-08
"초롱어린이집",대전광역시,동구,민간,127,8,대전광역시 동구 동부로 55-33 (판암2동),042-285-7543,,,,,,,2019-03-08
"홍도어린이집",대전광역시,동구,사회복지법인,104,14,대전광역시 동구 홍도로39번길 33 (홍도동),042-627-6745,,,,,,,2019-03-08
"등대어린이집",대전광역시,동구,민간,48,5,대전광역시 동구 동산초교로 10 (홍도동),042-634-5004,,,,,,,2019-03-08
"솔로몬 어린이집",대전광역시,동구,민간,32,8,대전광역시 동구 대전로994번길 75 솔로몬 어린이집 (홍도동),042-622-6548,,,,,,,2019-03-08
"예지어린이집",대전광역시,동구,민간,30,8,대전광역시 동구 홍도로33번길 55 (홍도동),042-622-7994,,,,,,,2019-03-08
"재능나라어린이집",대전광역시,동구,민간,86,13,대전광역시 동구 옛신탄진로75번길 61 (홍도동),042-627-5405,,,,,,,2019-03-08
"파밀리에어린이집",대전광역시,동구,민간,28,5,"대전광역시 동구 동산초교로55번길 20 1층(홍도동,파밀리에아파트 관리동)",042-622-0309,,,,,,,2019-03-08
"아이존 어린이집",대전광역시,동구,가정,20,3,"대전광역시 동구 동산초교로 46 107동 103호(홍도동, 파밀리에아파트)",042-631-6949,,,,,,,2019-03-08
"예꿈이영재어린이집",대전광역시,동구,가정,20,5,"대전광역시 동구 동산초교로 34 109동 102호(홍도동, 파밀리에아파트)",042-623-9062,,,,,,,2019-03-08
"정다운어린이집",대전광역시,동구,가정,18,1,"대전광역시 동구 동산초교로 46 105동 102호(홍도동, 파밀리에아파트)",042-625-9249,,,,,,,2019-03-08
"재능키즈어린이집",대전광역시,동구,협동,49,8,대전광역시 동구 옛신탄진로75번길 58,042-632-0113,,,,,,,2019-03-08
"사회복지법인 하늘어린이집",대전광역시,동구,사회복지법인,60,17,대전광역시 동구 신기로 65 (가오동),042-286-3311,,,,,,,2019-03-08
"사회복지법인 혜민어린이집",대전광역시,동구,사회복지법인,110,12,대전광역시 동구 대전로542번길 24 (천동),042-271-1240,,,,,,,2019-03-08
"꼬망세어린이집",대전광역시,동구,민간,113,16,대전광역시 동구 대전로 450 (가오동),042-283-0113,,,,,,,2019-03-08
"누리봄어린이집",대전광역시,동구,민간,44,8,대전광역시 동구 신기로 87 (가오동),042-284-1148,,,,,,,2019-03-08
"다하어린이집",대전광역시,동구,민간,35,8,"대전광역시 동구 은어송로 100 복지관 1층 (은어송5단지, 가오동)",042-285-5252,,,,,,,2019-03-08
"아이원어린이집",대전광역시,동구,민간,37,6,대전광역시 동구 동구청로 67 풍림아이원아파트 관리동 (가오동),042-383-5665,,,,,,,2019-03-08
"위드힐어린이집",대전광역시,동구,민간,53,10,"대전광역시 동구 대전로542번길 121 312동 1층 관리동(천동, 위드힐아파트)",042-283-0005,,,,,,,2019-03-08
"천동꼬마숲어린이집",대전광역시,동구,민간,29,4,대전광역시 동구 대전로542번길 78-1 천동휴먼시아2단지 관리동 1층(천동),042-282-4646,,,,,,,2019-03-08
"천동미래어린이집",대전광역시,동구,민간,27,6,대전광역시 동구 대전로542번길 78 천동휴먼시아아파트1단지 관리동 (천동),042-271-0559,,,,,,,2019-03-08
"키즈숲어린이집",대전광역시,동구,민간,49,10,대전광역시 동구 신기로 161 (가오동),042-273-3937,,,,,,,2019-03-08
"한일어린이집",대전광역시,동구,민간,49,1,대전광역시 동구 안샘2길 12 (천동),042-271-0814,,,,,,,2019-03-08
"해담어린이집",대전광역시,동구,민간,25,7,대전광역시 동구 은어송로 117 현대아이파크 관리동1층 (가오동),042-286-9787,,,,,,,2019-03-08
"현대어린이집",대전광역시,동구,민간,35,7,대전광역시 동구 대전로 646 관리사무소1층(효동),042-271-2388,,,,,,,2019-03-08
"꼬망세키즈어린이집",대전광역시,동구,가정,19,6,대전광역시 동구 대전로 450 (가오동),042-283-0114,,,,,,,2019-03-08
"꾸미피어어린이집",대전광역시,동구,가정,18,5,"대전광역시 동구 동구청로 67 106동 101호(가오동, 은어송마을1단지아파트)",042-383-2636,,,,,,,2019-03-08
"꿈사랑어린이집",대전광역시,동구,가정,20,4,"대전광역시 동구 대전로542번길 78-1 201동 102호(천동, 휴먼시아2단지아파트)",042-272-6480,,,,,,,2019-03-08
"너랑나랑어린이집",대전광역시,동구,가정,17,3,"대전광역시 동구 은어송로 100 504동 102호(가오동, 은어송마을5단지아파트)",042-369-0677,,,,,,,2019-03-08
"늘푸른어린이집",대전광역시,동구,가정,20,5,"대전광역시 동구 은어송로 117 309동 103호(가오동, 은어송마을가오아이파크3단지아파트)",042-286-4530,,,,,,,2019-03-08
